Nom français,Nom en grec ancien
Bythos,Βύθος
Béroé,Βερόη
Cabires,Κάβειροι
Caerus,Καιρός
Calleis,Καλλείς
Calliope,Καλλιόπη
Calypso,Καλυψώ
Carmanor,Καρμάνωρ
Carmé,Κάρμη
Carpo,Καρπώ
Castor,Κάστωρ
Caïque,Καικός
Caÿstre,Καϋστρίος
Celmis,Κελμις
Cercopes,Κέρκοπες
Ceuthonyme,Κευθόνυμος
Chalcon,Χαλκών
Chaos,Χάος
Charites,Χάριτες
Charon,Χάρων
Charybde,Χάρυϐδις
Chimon,Χειμών
Chioné,Χιόνη
Chloris,Χλωρίς
Chronos,Χρόνος
Chryson,Χρυσών
Chrysos,Χρύσος
Chrysothémis,Χρυσόθεμις
Circios,Κίρκιος
Circé,Κίρκη
Cladeos,Κλάδεος
Clio,Κλειώ
Clotho,Κλωθώ
Clymène,Κλυμένη
Clytie,Κλυτίη
Cléta,Κλήτα
Coalémos,Κοάλεμος
Cocyte,Κωκυτός
Comos,Κόμος
Coros,Κόρος
Corybantes,Κορύβαντες
Corymbos,Κόρυμβος
Courètes,Κουρέτες
Crios,Κρεῖος
Cronos,Κρόνος
Crotos,Κρότος
Cyamites,Κυαμίτης
Cybèle,Κυβέλη
Cyllénos,Κύλληνος
Cymopolée,Κυμοπόλεια
Cypris,Κυπρίς
Cyrbas,Κύρβας
Cécias,Καικίας
Céléno,Κελαινώ
Céos,Κοῖος
Céphisso,Κεφισσώ
Céraon,Κεραων
Céto,Κῆτώ
Dactyles,Δάκτυλοι
Daemones Ceramici,Δαίμονες Κεραμικοί
Damia,Δαμία
Damnaméneus,Δαμναμενεύς
Damnéos,Δαμνεύς
Damon,Δάμων
Daphné,Δάφνη
Darrhon,Δάῤῥων
Despoina,Δέσποινα
Dicaeosyne,Δικαιοσύνη
Dicé,Δίκη
Dino,Δεινώ
Dionysos,Διόνυσος
Dioné,Διώνη
Dipneus,Δειπνεύς
Dolos,Δόλος
Dryades,Δρυάδες
Dysis,Δύσις
Dysnomie,Δυσνομία
Dyssébéia,Δυσσέβεια
Déimos,Δεῖμος
Délas,Δήλας
Démonax,Δημώναξ
Déméter,Δημήτηρ
Déxithée,Δεξιθέα
Eirésione,Εἰρεσιώνη
Elpis,Ἐλπίς
Endymion,Ἐνδυμίων
Enyalios,Ἐνυάλιος
Etna,Αἴτνη
Eudémonie,Εὐδαιμονία
Eukléia,Εὔκλεια
Eulabéia,Εὐλάβεια
Eunomie,Εὐνομία
Eunostos,Εὔνοστος
Euphrosyne,Εὐφροσύνη
Euphémé,Εὐφήμη
Euporie,Εὐπορίη
Eupraxie,Εὐπραξία
Euronotos,Ευρονότος
Euros,Εύρος
Eurotas,Εὐρώτας
Euryale,Εὐρυάλη
Eurybie,Εὐρυβία
Eurymédon,Εὐρυμεδών
Eurynomé,Εὐρυνόμη
Eusébie,Εὐσέβεια
Euterpe,Εὐτέρπη
Euthymie,Εὐθυμία
Euthénie,Εὐθενία
Galène,Γαλήνη
Ganymède,Γανυμήδης
Gaïa,Γαῖα
Glaucos,Γλαῦκος
Gorgones,Γοργόνες
Gorgyre,Γοργύρα
Grées,Γραῖαι
Gymnasie,Γυμνασία
Gélos,Γέλως
Géras,Γῆρας
Hadès,Ἅιδης
Hamadryades,Ἁμαδρυάδες
Harmonie,Ἁρμονία
Harpies,Ἅρπυιαι
Harpocrate,Ἁρποκράτης
Heimarméné,Εἱμαρμένη
Hermaphrodite,Ἑρμάφρόδιτός
Hermès,Ἑρμῆς
Hersé,Ἕρση
Hespérides,Ἑσπερίδες
Hespérie,Ἑσπερία
Hespéris,Ἑσπερίς
Hespéros,Ἓσπερος
Hestia,Ἑστία
Heures,Ὧραι
Hilaire,Ἱλάειρα
Himérope,Ίμερόπη
Himéros,Ἵμερος
Homados,Ὅμαδος
Homonoia,Ὁμόνοια
Horcos,Ὅρκος
Hormê,Ὁρμή
Hyades,Ὑάδες
Hybris,Ὕβρις
Hydros,Ὑδρος
Hygie,Υγεία
Hymen,Ὑμέναιος
Hyménée,Ὑμέναιος
Hypaté,Ὑπάτη
Hypnos,Ὕπνος
Hypérion,Ὑπερίων
Hysmines,Ὑσμῖναι
Hébé,Ἥβη
Hécate,Ἑκάτη
Hécatéros,Ἑκάτερος
Hédoné,Ἡδονή
Hédylogos,Ἡδύλογος
Hégémone,Ηγεμόνη
Hékaerge,Ἑκαέργη
Hélios,Ἥλιος
Hémithée,Ἡμιθέα
Héméra,Ἡμέρα
Héphaïstos,Ἥφαιστος
Héra,Ἥρα
Héraclès,Ἡρακλῆς
Iapyx,Ἰάπυξ
Iar,Εἴαρ
Iasios,Ἰάσιος
Iaso,Ἰασώ
Ichnaea,Ιχναία
Ichtyocentaures,Ἰχθυοκένταυροι
Idothée,Ειδοθέα
Idyie,Ειδυια
Idéos,Ἰδαίος
Ilithyie,Εἰλείθυια
Ino,Ἰνώ
Ioké,Ἰωκή
Iris,Ἶρις
Irène,Εἰρήνη
Irésioné,Εἰρεσιώνη
Japet,Ἰαπετός
Jynx,Ἴϋγξ
Kairos,Καιρός
Kakia,Κακία
Kalokagathie,Καλοκαγαθία
Kratos,Κράτος
Kydoimos,Κυδοιμός
Kères,Κῆρες
Lachésis,Λάχεσις
Lampades,Λαμπάδες
Lampsaque,Λαμψάκη
Leucosie,Λευκοσία
Leucothée,Λευκοθέα
Ligie,Λιγεία
Limos,Λιμός
Lips,Λίψ
Lites,Λιταί
Loxo,Λοξώ
Lycos,Λύκος
Lyktos,Λύκτος
Lypé,Λύπη
Lysagora,Λυσαγόρα
Lyssa,Λύσσα
Lélantos,Λήλαντος
Léthé,Λήθη
Léto,Λητώ
Macarie,Μακαρία
Makelo,Μακελώ
Makhai,Μάχαι
Mania,Μανία
Matton,Μάττων
Maïa,Μαία
Melpomène,Μελπομένη
Melíai,Μελιάδες
Menthé,Μένθη
Minos,Μίνως
Minthé,Μίνθη
Mnémosyne,Μνημοσύνη
Mnémé,Μνήμη
Moires,Μοίραι
Molpé,Μολπή
Momos,Μῶμος
Moros,Μόρος
Morphée,Μορφεύς
Mousice,Μουσική
Muses,Μούσαι
Mylas,Μύλας
Méduse,Μέδουσα
Mégalésios,Μεγαλήσιος
Mégère,Μέγαιρα
Méliades,Μελίαι
Mélicerte,Μελικέρτης
Mélinoé,Μελινόη
Mélété,Μελέτη
Ménades,Μαινάδες
Ménoitès,Μενοίτης
Mérope,Μερόπη
Mésembrie,Μεσημβρία
Mésé,Μέση
Méthé,Μέθη
Métope,Μετώπη
Naïades,Ναιάδες
Neiké,Νείκη
Nicon,Νίκων
Nicothoé,Νικοθόη
Niké,Νίκη
Nilos,Νεῖλος
Nomos,Νόμος
Notos,Νότος
Nymphes hyperboréennes,Νύμφαι Ὑπερβόρειοι
Nymphé,Νυμφή
Nyx,Νύξ
Nèsoi,Νῆσοι
Némésis,Νέμεσις
Néphélées,Νεφήλαι
Nérite,Νερίτης
Nérée,Νηρέας
Néréides,Νηρηίδες
Nété,Νήτη
Ocypète,Ὠκυπέτη
Océan,Ὠκεανός
Océanides,Ὠκεανίδες
Oizys,Ὀϊζύς
Okythoos,Ὠκύθοος
Oléthros,Ὄλεθρος
Omodamos,Ὀμόδαμος
Oneiroi,Ὄνειροι
Onnes,Ὄννης
Orithye,Ὠρείθυια
Orménos,Ὄρμενος
Orphné,Ὀρφνή
Orthosie,Ὀρθοσίη
Oréades,Ὀρεάδες
Oupis,Οὖπις
Ouranos,Οὐρανός
Ouréa,Οὔρεα
Palestre,Παλαίστρα
Palioxis,Παλίωξις
Paliques,Παλικοί
Pallas,Παλλάς
Palémon,Παλαίμων
Pan,Πάν
Panacée,Πανάκεια
Pandia,Πανδία
Pandise,Πανδαισία
Pannychis,Παννυχίς
Paregoros,Παρηγορος
Parthénope,Παρθενόπη
Parthénos,Παρθένος
Pasithée,Πασιθέα
Passalos,Πάσσαλος
Pemphrédo,Πεμφρεδώ
Penthos,Πένθος
Perséphone,Περσεφόνη
Phaenna,Φαέννα
Phantasos,Φάντασος
Phanès,Φάνης
Phaénon,Φαίνων
Phaéton,Φαέθων
Philomélos,Φιλόμελος
Philonoé,Φιλονόη
Philophrosyne,Φιλοφροσύνη
Philotès,Φιλότης
Phlégéthon,Φλεγέθων
Phobos,Φόβος
Phobétor,Φοβήτωρ
Phonoi,Φόνοι
Phorcys,Φόρκυς
Phriké,Φρίκη
Phtonos,Φθόνος
Phébé,Φοίβη
Phémé,Φήμη
Phérousa,Φέρουσα
Pidie,Παιδία
Pisioné,Πεισιόνη
Pistis,Πίστις
Ploutos,Πλοῦτος
Pléiades,Πλειάδες
Podarge,Ποδάργη
Poiné,Ποίνη
Pollux,Πολυδεύκης
Polymathée,Πολυμάθεια
Polymnie,Πολυμνία
Polémos,Πόλεμος
Ponos,Πόνος
Pontos,Πόντος
Poros,Πόρος
Poséidon,Ποσειδῶν
Potamoi,Ποταμοί
Pothos,Πόθος
Praxidice,Πραξιδίκη
Priape,Πρίαπος
Proioxis,Προίωξις
Prophasis,Πρόφασις
Protée,Πρωτεύς
Prymnéus,Πρυμνεύς
Psamathée,Ψαμάθη
Pseudologues,Ψευδολόγοι
Psyché,Ψυχή
Pthinoporon,Φθινόπωρον
Ptochéia,Πτωχεία
Pyroeis,Πυρόεις
Pyrrhichos,Πυρῥιχος
Péitharchie,Πειθαρχία
Péitho,Πειθώ
Pénia,Πενία
Pénée,Πηνειός
Pépromène,Πεπρωμένη
Raidné,Ραίδνη
Rhadamanthe,Ῥαδάμανθυς
Rhapso,Ραψώ
Rhéa,Ῥέα
Sabactès,Σαβάκτης
Satyres,Σάτυροι
Scamandre,Σκάμανδρος
Scelmis,Σκελμις
Sciron,Σκείρων
Scylla,Σκύλλα
Scythès,Σκύθης
Silène,Σειληνός
Simon,Σίμων
Sirènes,Σειρῆνες
Smaragos,Σμάραγος
Sophrosyne,Σωφροσύνη
Soteria,Σωτηρία
Spondé,Σπονδή
Sthéno,Σθεννώ
Stilbon,Στιλβών
Styx,Στύξ
Syntribos,Σύντριβος
Séléné,Σελήνη
Sôter,Σωτήρ
Tartare,Τάρταρος
Taygète,Ταϋγέτη
Techné,Τέχνη
Telchines,Τελχῖνες
Terpsichore,Τερψιχόρη
Thalassa,Θάλασσα
Thalie,Θάλεια
Thallo,Θαλλώ
Thanatos,Θάνατος
Thaumas,Θαῦμας
Thelchtérée,Θελχτήρεια
Thelxinoé,Θελξινόη
Thelxiopé,Θελξιόπη
Thelxiépie,Θελξιέπεια
Thoôsa,Θόωσα
Thrascias,Θρασκίας
Thrasos,Θράσος
Théia,Θεία
Thémis,Θέμις
Théros,Θέρος
Thétis,Θέτις
Tisiphone,Τισιφόνη
Titias,Τιτίας
Tonnes,Τόννης
Triton,Τρίτων
Tritonides,Τρίτωνιδες
Tritons,Τρίτωνες
Tritée,Τριτεῖα
Tyché,Τύχη
Télesphore,Τελεσφόρος
Télès,Τέλης
Télété,Τελέτη
Téthys,Τηθύς
Uranie,Ουρανία
Zagreus,Ζαγρεύς
Zeus,Ζεύς
Zélos,Ζῆλος
Zéphyr,Ζέφυρος
Éaque,Αἰακός
Écho,Ἠχώ
Écéchéirie,Ἐκεχειρία
Édos,Αἰδώς
Églé,Αἴγλη
Égéon,Αἰγαίων
Éiréné,Εἰρήνη
Électre,Ἠλέκτρα
Électryone,Ἠλεκτρυώνην
Éléos,Ἔλεος
Ényo,Ἐνυώ
Éole,Αίολος
Éon,Αἰών
Éos,Ἠώς
Éosphoros,Ἑωσφόρος
Épialès,Ἐπιάλης
Épimédès,Επιμήδης
Épimélides,Ἐπιμελίδες
Épiméthée,Ἐπιμηθεύς
Épione,Ἠπιόνη
Épiphron,Ἐπίφρων
Érato,Ερατώ
Érinyes,Ἐρινύες
Éris,Ἔρις
Éros,Ἔρως
Érotes,Ἔρωτες
Érythie,Ἐρύθεια
Érèbe,Ἔρεβος
Ésa,Αἴσα
Éther,Αἰθήρ
Étnaios,Αἰτναῖος
